id,name,type,stage,when,terraform,branch,ansible,fill,stroke,image
terraform-plan,terraform-plan,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
terraform,terraform,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
deploy,deploy,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
build-1,build,job,terraform,,"init,plan,apply","develop,uat",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
deploy-services-2,deploy-services,job,deploy,on_success,"","develop,uat",deploy-services.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
deploy-repository-3,deploy-repository,job,deploy,on_success,"","develop,uat",deploy-repository.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
deploy-efs-4,deploy-efs,job,deploy,on_success,"","develop,uat",deploy-efs.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
destroy-develop-5,destroy-develop,job,terraform,manual,"init,destroy","develop",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
build-prod-plan-6,build-prod-plan,job,terraform-plan,,"init,plan","prod",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
build-prod-7,build-prod,job,terraform,manual,"init,apply","prod",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
deploy-prod-services-8,deploy-prod-services,job,deploy,manual,"","prod",deploy-services.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
deploy-prod-repository-9,deploy-prod-repository,job,deploy,manual,"","prod",deploy-repository.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
deploy-prod-efs-10,deploy-prod-efs,job,deploy,manual,"","prod",deploy-efs.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
destroy-prod-11,destroy-prod,job,terraform-plan,manual,"init,destroy","prod",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
init,init,terraform,,,"","",,#99ffcc,#82b366,https://www.dropbox.com/s/ngptqgmji59j3h7/terraform-logo-1.png?raw=1
plan,plan,terraform,,,"","",,#99ffcc,#82b366,https://www.dropbox.com/s/ngptqgmji59j3h7/terraform-logo-1.png?raw=1
apply,apply,terraform,,,"","",,#99ffcc,#82b366,https://www.dropbox.com/s/ngptqgmji59j3h7/terraform-logo-1.png?raw=1
destroy,destroy,terraform,,,"","",,#99ffcc,#82b366,https://www.dropbox.com/s/ngptqgmji59j3h7/terraform-logo-1.png?raw=1
develop,develop,branch,,,"","",,#d5e8d4,#82b366,https://www.dropbox.com/s/vf0nzuvj8lr61u2/gitbranch-logo.png?raw=1
uat,uat,branch,,,"","",,#d5e8d4,#82b366,https://www.dropbox.com/s/vf0nzuvj8lr61u2/gitbranch-logo.png?raw=1
prod,prod,branch,,,"","",,#d5e8d4,#82b366,https://www.dropbox.com/s/vf0nzuvj8lr61u2/gitbranch-logo.png?raw=1
deploy-services.yaml,deploy-services.yaml,ansible,,,"","",,#f8cecc,#82b366,https://www.dropbox.com/s/louj6pc6a3xb4gi/ansible-logo-1.png?raw=1
deploy-repository.yaml,deploy-repository.yaml,ansible,,,"","",,#f8cecc,#82b366,https://www.dropbox.com/s/louj6pc6a3xb4gi/ansible-logo-1.png?raw=1
deploy-efs.yaml,deploy-efs.yaml,ansible,,,"","",,#f8cecc,#82b366,https://www.dropbox.com/s/louj6pc6a3xb4gi/ansible-logo-1.png?raw=1
